Time,c2_system.prob,c2_system.cases,c2_system.C_dot,c2_system.Level,c2_system.state_level,c2_system.total,c2_system.D
15.500000,1.000000,479.476808,30.165464,3.000000,0.000000,897.169321,6.266008
15.600000,1.000000,475.356366,30.087543,3.000000,0.000000,900.182035,6.373001
15.700000,1.000000,471.263145,30.006643,3.000000,0.000000,903.186810,6.479467
15.800000,1.000000,467.199252,29.922720,3.000000,0.000000,906.183346,6.585369
15.900000,1.000000,463.166672,29.835736,3.000000,0.000000,909.171337,6.690672
16.000000,1.000000,459.167266,29.745666,3.000000,0.000000,912.150478,6.795345
16.100000,1.000000,455.202771,29.652493,3.000000,0.000000,915.120459,6.899357
16.200000,1.000000,451.274800,29.556209,3.000000,0.000000,918.080968,7.002679
16.300000,1.000000,447.384849,29.456816,3.000000,0.000000,921.031695,7.105283
16.400000,1.000000,443.534293,29.354323,3.000000,0.000000,923.972329,7.207145
16.500000,1.000000,439.724388,29.248749,3.000000,0.000000,926.902561,7.308241
16.600000,1.000000,435.956279,29.140118,3.000000,0.000000,929.822084,7.408549
16.700000,1.000000,432.230995,29.028464,3.000000,0.000000,932.730594,7.508049
16.800000,1.000000,428.549457,28.913824,3.000000,0.000000,935.627790,7.606724
16.900000,1.000000,424.912477,28.796245,3.000000,0.000000,938.513377,7.704556
17.000000,1.000000,421.320762,28.675778,3.000000,0.000000,941.387062,7.801530
17.100000,1.000000,417.774918,28.552480,3.000000,0.000000,944.248560,7.897633
17.200000,1.000000,414.275453,28.426413,3.000000,0.000000,947.097590,7.992853
17.300000,1.000000,410.822778,28.297644,3.000000,0.000000,949.933880,8.087181
17.400000,1.000000,407.417212,28.166246,3.000000,0.000000,952.757161,8.180606
17.500000,1.000000,404.058986,28.032293,3.000000,0.000000,955.567176,8.273123
17.600000,1.000000,400.748244,27.895866,3.000000,0.000000,958.363673,8.364724
17.700000,1.000000,397.485048,27.757046,3.000000,0.000000,961.146407,8.455406
17.800000,1.000000,394.269384,27.615921,3.000000,0.000000,963.915145,8.545165
17.900000,1.000000,391.101160,27.472579,3.000000,0.000000,966.669660,8.633999
18.000000,1.000000,387.980214,27.327112,3.000000,0.000000,969.409735,8.721907
18.100000,1.000000,384.906316,27.179612,3.000000,0.000000,972.135161,8.808890
18.200000,1.000000,381.879171,27.030176,3.000000,0.000000,974.845741,8.894949
18.300000,1.000000,378.898425,26.878900,3.000000,0.000000,977.541285,8.980087
18.400000,1.000000,375.963664,26.725882,3.000000,0.000000,980.221615,9.064306
18.500000,1.000000,373.074424,26.571222,3.000000,0.000000,982.886561,9.147612
18.600000,1.000000,370.230189,26.415020,3.000000,0.000000,985.535963,9.230010
18.700000,1.000000,367.430395,26.257376,3.000000,0.000000,988.169674,9.311506
18.800000,1.000000,364.674437,26.098392,3.000000,0.000000,990.787552,9.392107
18.900000,1.000000,361.961669,25.938167,3.000000,0.000000,993.389470,9.471821
19.000000,1.000000,359.291408,25.776804,3.000000,0.000000,995.975308,9.550656
19.100000,1.000000,356.662938,25.614401,3.000000,0.000000,998.544958,9.628621
19.200000,1.000000,354.075514,25.451059,3.000000,0.000000,1001.098320,9.705727
19.300000,1.000000,351.528360,25.286877,3.000000,0.000000,1003.635306,9.781983
19.400000,1.000000,349.020680,25.121953,3.000000,0.000000,1006.155835,9.857401
19.500000,1.000000,346.551653,24.956383,3.000000,0.000000,1008.659840,9.931990
19.600000,1.000000,344.120441,24.790263,3.000000,0.000000,1011.147260,10.005764
19.700000,1.000000,341.726190,24.623687,3.000000,0.000000,1013.618044,10.078734
19.800000,1.000000,339.368033,24.456748,3.000000,0.000000,1016.072152,10.150913
19.900000,1.000000,337.045091,24.289536,3.000000,0.000000,1018.509551,10.222313
20.000000,1.000000,334.756478,24.122141,3.000000,0.000000,1020.930220,10.292947
20.100000,1.000000,332.501299,23.954648,3.000000,0.000000,1023.334144,10.362828
20.200000,1.000000,330.278658,23.787143,3.000000,0.000000,1025.721317,10.431971
20.300000,1.000000,328.087657,23.619708,3.000000,0.000000,1028.091742,10.500388
20.400000,1.000000,325.927397,23.452424,3.000000,0.000000,1030.445431,10.568092
20.500000,1.000000,323.796981,23.285369,3.000000,0.000000,1032.782402,10.635099
20.600000,1.000000,321.695516,23.118619,3.000000,0.000000,1035.102682,10.701421
20.700000,1.000000,319.622116,22.952246,3.000000,0.000000,1037.406305,10.767072
20.800000,1.000000,317.575900,22.786321,3.000000,0.000000,1039.693312,10.832066
20.900000,1.000000,315.555998,22.620912,3.000000,0.000000,1041.963752,10.896417
21.000000,1.000000,313.561549,22.456084,3.000000,0.000000,1044.217679,10.960139
21.100000,1.000000,311.591702,22.291901,3.000000,0.000000,1046.455155,11.023245
21.200000,1.000000,309.645621,22.128422,3.000000,0.000000,1048.676246,11.085750
21.300000,1.000000,307.722482,21.965705,3.000000,0.000000,1050.881028,11.147665
21.400000,1.000000,305.821478,21.803804,3.000000,0.000000,1053.069577,11.209005
21.500000,1.000000,303.941817,21.642772,3.000000,0.000000,1055.241979,11.269783
21.600000,1.000000,302.082721,21.482657,3.000000,0.000000,1057.398323,11.330011
21.700000,1.000000,300.243433,21.323506,3.000000,0.000000,1059.538702,11.389703
21.800000,1.000000,298.423213,21.165364,3.000000,0.000000,1061.663216,11.448872
21.900000,1.000000,296.621339,21.008271,3.000000,0.000000,1063.771967,11.507528
22.000000,1.000000,294.837109,20.852265,3.000000,0.000000,1065.865063,11.565686
22.100000,1.000000,293.069841,20.697384,3.000000,0.000000,1067.942613,11.623355
22.200000,1.000000,291.318873,20.543661,3.000000,0.000000,1070.004733,11.680549
22.300000,1.000000,289.583564,20.391125,3.000000,0.000000,1072.051538,11.737279
22.400000,1.000000,287.863292,20.239806,3.000000,0.000000,1074.083150,11.793555
22.500000,1.000000,286.157459,20.089730,3.000000,0.000000,1076.099692,11.849388
22.600000,1.000000,284.465486,19.940921,3.000000,0.000000,1078.101288,11.904790
22.700000,1.000000,282.786817,19.793398,3.000000,0.000000,1080.088067,11.959770
22.800000,1.000000,281.120915,19.647182,3.000000,0.000000,1082.060158,12.014338
22.900000,1.000000,279.467267,19.502290,3.000000,0.000000,1084.017693,12.068504
23.000000,1.000000,277.825379,19.358734,3.000000,0.000000,1085.960805,12.122277
23.100000,1.000000,276.194780,19.216529,3.000000,0.000000,1087.889628,12.175666
23.200000,1.000000,274.575020,19.075684,3.000000,0.000000,1089.804298,12.228681
23.300000,1.000000,272.965668,18.936208,3.000000,0.000000,1091.704950,12.281330
23.400000,1.000000,271.366316,18.798107,3.000000,0.000000,1093.591724,12.333620
23.500000,1.000000,269.776575,18.661386,3.000000,0.000000,1095.464755,12.385560
23.600000,1.000000,268.196077,18.526047,3.000000,0.000000,1097.324183,12.437158
23.700000,1.000000,266.624473,18.392092,3.000000,0.000000,1099.170145,12.488420
23.800000,1.000000,265.061434,18.259520,3.000000,0.000000,1101.002781,12.539354
23.900000,1.000000,263.506649,18.128328,3.000000,0.000000,1102.822227,12.589966
24.000000,1.000000,261.959827,17.998515,3.000000,0.000000,1104.628623,12.640263
24.100000,1.000000,260.420696,17.870073,3.000000,0.000000,1106.422105,12.690251
24.200000,1.000000,258.888999,17.742998,3.000000,0.000000,1108.202811,12.739936
24.300000,1.000000,257.364498,17.617281,3.000000,0.000000,1109.970876,12.789324
24.400000,1.000000,255.846973,17.492913,3.000000,0.000000,1111.726437,12.838419
24.500000,1.000000,254.336220,17.369885,3.000000,0.000000,1113.469627,12.887227
