Time,nz-c1.Ic,nz-c1.C_dot,nz-c1.Level,nz-c1.total_cases,nz-c1.deaths
431,0,0,4,1488.044648,14.880446
432,0,0,4,1488.044648,14.880446
433,0,0,4,1488.044648,14.880446
434,0,0,4,1488.044648,14.880446
435,0,0,4,1488.044648,14.880446
436,0,0,4,1488.044648,14.880446
437,0,0,4,1488.044648,14.880446
438,0,0,4,1488.044648,14.880446
439,0,0,4,1488.044648,14.880446
440,0,0,4,1488.044648,14.880446
441,0,0,4,1488.044648,14.880446
442,0,0,4,1488.044648,14.880446
443,0,0,4,1488.044648,14.880446
444,0,0,4,1488.044648,14.880446
445,0,0,4,1488.044648,14.880446
446,0,0,4,1488.044648,14.880446
447,0,0,4,1488.044648,14.880446
448,0,0,4,1488.044648,14.880446
449,0,0,4,1488.044648,14.880446
450,0,0,4,1488.044648,14.880446
451,0,0,4,1488.044648,14.880446
452,0,0,4,1488.044648,14.880446
453,0,0,4,1488.044648,14.880446
454,0,0,4,1488.044648,14.880446
455,0,0,4,1488.044648,14.880446
456,0,0,4,1488.044648,14.880446
457,0,0,4,1488.044648,14.880446
458,0,0,4,1488.044648,14.880446
459,0,0,4,1488.044648,14.880446
460,0,0,4,1488.044648,14.880446
461,0,0,4,1488.044648,14.880446
462,0,0,4,1488.044648,14.880446
463,0,0,4,1488.044648,14.880446
464,0,0,4,1488.044648,14.880446
465,0,0,4,1488.044648,14.880446
466,0,0,4,1488.044648,14.880446
467,0,0,4,1488.044648,14.880446
468,0,0,4,1488.044648,14.880446
469,0,0,4,1488.044648,14.880446
470,0,0,4,1488.044648,14.880446
471,0,0,4,1488.044648,14.880446
472,0,0,4,1488.044648,14.880446
473,0,0,4,1488.044648,14.880446
474,0,0,4,1488.044648,14.880446
475,0,0,4,1488.044648,14.880446
476,0,0,4,1488.044648,14.880446
477,0,0,4,1488.044648,14.880446
478,0,0,4,1488.044648,14.880446
479,0,0,4,1488.044648,14.880446
480,0,0,4,1488.044648,14.880446
481,0,0,4,1488.044648,14.880446
482,0,0,4,1488.044648,14.880446
483,0,0,4,1488.044648,14.880446
484,0,0,4,1488.044648,14.880446
485,0,0,4,1488.044648,14.880446
486,0,0,4,1488.044648,14.880446
487,0,0,4,1488.044648,14.880446
488,0,0,4,1488.044648,14.880446
489,0,0,4,1488.044648,14.880446
490,0,0,4,1488.044648,14.880446
491,0,0,4,1488.044648,14.880446
492,0,0,4,1488.044648,14.880446
493,0,0,4,1488.044648,14.880446
494,0,0,4,1488.044648,14.880446
495,0,0,4,1488.044648,14.880446
496,0,0,4,1488.044648,14.880446
497,0,0,4,1488.044648,14.880446
498,0,0,4,1488.044648,14.880446
499,0,0,4,1488.044648,14.880446
500,0,0,4,1488.044648,14.880446
501,0,0,4,1488.044648,14.880446
502,0,0,4,1488.044648,14.880446
503,0,0,4,1488.044648,14.880446
504,0,0,4,1488.044648,14.880446
505,0,0,4,1488.044648,14.880446
506,0,0,4,1488.044648,14.880446
507,0,0,4,1488.044648,14.880446
508,0,0,4,1488.044648,14.880446
509,0,0,4,1488.044648,14.880446
510,0,0,4,1488.044648,14.880446
511,0,0,4,1488.044648,14.880446
512,0,0,4,1488.044648,14.880446
513,0,0,4,1488.044648,14.880446
514,0,0,4,1488.044648,14.880446
515,0,0,4,1488.044648,14.880446
516,0,0,4,1488.044648,14.880446
517,0,0,4,1488.044648,14.880446
518,0,0,4,1488.044648,14.880446
519,0,0,4,1488.044648,14.880446
520,0,0,4,1488.044648,14.880446
521,0,0,4,1488.044648,14.880446
522,0,0,4,1488.044648,14.880446
523,0,0,4,1488.044648,14.880446
524,0,0,4,1488.044648,14.880446
525,0,0,4,1488.044648,14.880446
526,0,0,4,1488.044648,14.880446
527,0,0,4,1488.044648,14.880446
528,0,0,4,1488.044648,14.880446
529,0,0,4,1488.044648,14.880446
530,0,0,4,1488.044648,14.880446
531,0,0,4,1488.044648,14.880446
532,0,0,4,1488.044648,14.880446
533,0,0,4,1488.044648,14.880446
534,0,0,4,1488.044648,14.880446
535,0,0,4,1488.044648,14.880446
536,0,0,4,1488.044648,14.880446
537,0,0,4,1488.044648,14.880446
538,0,0,4,1488.044648,14.880446
539,0,0,4,1488.044648,14.880446
540,0,0,4,1488.044648,14.880446
541,0,0,4,1488.044648,14.880446
542,0,0,4,1488.044648,14.880446
543,0,0,4,1488.044648,14.880446
544,0,0,4,1488.044648,14.880446
545,0,0,4,1488.044648,14.880446
546,0,0,4,1488.044648,14.880446
547,0,0,4,1488.044648,14.880446
548,0,0,4,1488.044648,14.880446
549,0,0,4,1488.044648,14.880446
550,0,0,4,1488.044648,14.880446
551,0,0,4,1488.044648,14.880446
552,0,0,4,1488.044648,14.880446
553,0,0,4,1488.044648,14.880446
554,0,0,4,1488.044648,14.880446
555,0,0,4,1488.044648,14.880446
556,0,0,4,1488.044648,14.880446
557,0,0,4,1488.044648,14.880446
558,0,0,4,1488.044648,14.880446
559,0,0,4,1488.044648,14.880446
560,0,0,4,1488.044648,14.880446
561,0,0,4,1488.044648,14.880446
562,0,0,4,1488.044648,14.880446
563,0,0,4,1488.044648,14.880446
564,0,0,4,1488.044648,14.880446
565,0,0,4,1488.044648,14.880446
566,0,0,4,1488.044648,14.880446
567,0,0,4,1488.044648,14.880446
568,0,0,4,1488.044648,14.880446
569,0,0,4,1488.044648,14.880446
570,0,0,4,1488.044648,14.880446
571,0,0,4,1488.044648,14.880446
572,0,0,4,1488.044648,14.880446
573,0,0,4,1488.044648,14.880446
574,0,0,4,1488.044648,14.880446
575,0,0,4,1488.044648,14.880446
576,0,0,4,1488.044648,14.880446
577,0,0,4,1488.044648,14.880446
578,0,0,4,1488.044648,14.880446
579,0,0,4,1488.044648,14.880446
580,0,0,4,1488.044648,14.880446
581,0,0,4,1488.044648,14.880446
582,0,0,4,1488.044648,14.880446
583,0,0,4,1488.044648,14.880446
584,0,0,4,1488.044648,14.880446
585,0,0,4,1488.044648,14.880446
586,0,0,4,1488.044648,14.880446
587,0,0,4,1488.044648,14.880446
588,0,0,4,1488.044648,14.880446
589,0,0,4,1488.044648,14.880446
590,0,0,4,1488.044648,14.880446
591,0,0,4,1488.044648,14.880446
592,0,0,4,1488.044648,14.880446
593,0,0,4,1488.044648,14.880446
594,0,0,4,1488.044648,14.880446
595,0,0,4,1488.044648,14.880446
596,0,0,4,1488.044648,14.880446
597,0,0,4,1488.044648,14.880446
598,0,0,4,1488.044648,14.880446
599,0,0,4,1488.044648,14.880446
600,0,0,4,1488.044648,14.880446
