Time,nz-c3.C_dot,nz-c3.Level,nz-c3.total_cases,nz-c3.deaths,nz-c3.Iu,nz-c3.Ic
163,4018.562727,4,693734.05968,11351.783064,40185.627272,48089.837505
164,3893.326856,4,697689.747245,11445.527666,38933.268557,46607.376508
165,3771.88338,4,701522.100937,11535.931926,37718.833804,45168.338359
166,3654.137138,4,705234.866058,11623.097399,36541.371379,43771.360752
167,3539.988843,4,708831.690498,11707.119786,35399.888432,42415.301634
168,3429.337208,4,712316.121701,11788.090476,34293.372076,41099.150354
169,3322.080641,4,715691.605546,11866.097637,33220.806408,39821.965274
170,3218.118527,4,718961.486722,11941.226929,32181.185269,38582.833178
171,3117.352113,4,722129.010171,12013.561935,31173.521133,37380.845554
172,3019.685078,4,725197.323261,12083.184388,30196.850777,36215.08709
173,2925.023843,4,728169.478392,12150.174264,29250.238432,35084.632442
174,2833.27771,4,731048.43582,12214.60979,28332.7771,33988.548075
175,2744.358862,4,733837.066543,12276.56741,27443.588623,32925.896821
176,2658.182297,4,736538.155157,12336.12174,26581.822971,31895.743474
177,2574.66571,4,739154.402615,12393.345517,25746.657099,30897.16034
178,2493.729364,4,741688.428857,12448.309569,24937.293635,29929.232143
179,2415.295955,4,744142.775314,12501.082795,24152.959549,28991.059965
180,2339.290491,4,746519.907277,12551.732162,23392.904907,28081.764177
181,2265.640175,4,748822.21615,12600.322721,22656.401753,27200.48642
182,2194.274315,4,751052.021598,12646.917631,21942.743146,26346.390767
183,2125.124232,4,753211.573608,12691.578193,21251.242317,25518.66426
184,2058.123197,4,755303.054466,12734.363893,20581.231967,24716.516953
185,1993.206365,4,757328.580675,12775.332448,19932.063648,23939.181633
186,1930.310723,4,759290.204812,12814.539852,19303.107227,23185.913331
187,1869.37504,4,761189.917337,12852.040425,18693.750403,22455.988711
188,1810.339826,4,763029.648349,12887.886864,18103.39826,21748.705408
189,1753.147285,4,764811.269309,12922.130286,17531.472848,21063.381357
190,1697.741278,4,766536.594712,12954.820278,16977.412783,20399.354148
191,1644.069342,0,768207.38384,12986.004939,16440.693421,19755.980518
192,1594.42557,0,769825.867081,13015.733213,15944.255702,19133.160499
193,1572.897812,0,771405.321169,13044.103258,15728.978121,18541.910563
194,1625.13289,0,772996.49546,13071.391441,16251.328899,18030.787762
195,1778.468005,0,774689.600631,13098.056618,17784.680048,17687.873038
196,2026.56792,0,776585.039654,13124.548836,20265.679202,17611.460036
197,2343.433314,0,778765.374399,13151.139148,23434.333139,17881.790187
198,2701.977229,0,781285.346515,13177.914386,27019.772288,18550.304509
199,3084.377403,0,784176.781479,13204.882559,30843.774026,19642.865931
200,3483.901485,0,787459.324264,13232.094123,34839.014852,21167.928845
201,3902.199995,0,791150.383082,13259.735893,39021.999953,23123.738563
202,4345.601473,0,795271.642913,13288.185982,43456.014734,25503.047788
203,4822.230988,0,799852.201375,13318.025644,48222.309882,28296.303739
204,5340.395217,0,804929.457844,13350.010163,53403.952169,31494.588198
205,5907.977126,0,810548.926843,13385.010677,59079.77126,35092.82826
206,6532.401704,0,816763.766729,13423.946133,65324.017041,39092.983366
207,7220.474624,4,823634.364051,13467.724734,72204.746236,43506.533583
208,7955.955954,4,831221.11484,13517.204725,79559.559543,48348.814998
209,8633.89597,4,839526.820635,13573.161056,86338.959702,53581.53189
210,9114.461309,4,848421.583955,13636.271967,91144.613089,59036.627768
211,9328.853862,4,857665.6193,13707.155916,93288.538622,64437.429434
212,9296.353434,4,866996.378122,13786.424421,92963.534343,69484.124479
213,9084.207414,4,876198.519979,13874.707441,90842.074136,73923.159247
