Time,nz-c1.S,nz-c1.E,nz-c1.P,nz-c1.Iu,nz-c1.Ic,nz-c1.Ru,nz-c1.Rc,nz-c1.D,nz-c1.cases,nz-c1.Level
113.000000,4819404.509037,0.001285,0.000355,0.001167,0.081385,642.493517,1485.815186,21.498068,1500.904805,4.000000
114.000000,4819404.508848,0.001168,0.000323,0.001061,0.073957,642.493627,1485.822870,21.498146,1500.905139,4.000000
115.000000,4819404.508676,0.001061,0.000293,0.000964,0.067207,642.493727,1485.829853,21.498218,1500.905443,4.000000
116.000000,4819404.508520,0.000964,0.000267,0.000876,0.061074,642.493818,1485.836198,21.498283,1500.905718,4.000000
117.000000,4819404.508378,0.000876,0.000242,0.000796,0.055500,642.493901,1485.841965,21.498342,1500.905969,4.000000
118.000000,4819404.508249,0.000796,0.000220,0.000723,0.050435,642.493976,1485.847205,21.498396,1500.906197,4.000000
119.000000,4819404.508132,0.000724,0.000200,0.000657,0.045832,642.494044,1485.851966,21.498445,1500.906404,4.000000
120.000000,4819404.508026,0.000658,0.000182,0.000597,0.041649,642.494106,1485.856294,21.498489,1500.906592,4.000000
121.000000,4819404.507929,0.000598,0.000165,0.000543,0.037848,642.494163,1485.860226,21.498529,1500.906763,4.000000
122.000000,4819404.507841,0.000543,0.000150,0.000493,0.034394,642.494214,1485.863799,21.498566,1500.906918,4.000000
123.000000,4819404.507761,0.000493,0.000136,0.000448,0.031255,642.494261,1485.867046,21.498599,1500.907059,4.000000
124.000000,4819404.507689,0.000448,0.000124,0.000407,0.028402,642.494303,1485.869997,21.498629,1500.907187,4.000000
125.000000,4819404.507623,0.000407,0.000113,0.000370,0.025810,642.494341,1485.872679,21.498657,1500.907304,4.000000
126.000000,4819404.507563,0.000370,0.000102,0.000336,0.023455,642.494376,1485.875116,21.498682,1500.907410,4.000000
127.000000,4819404.507508,0.000336,0.000093,0.000306,0.021314,642.494408,1485.877330,21.498704,1500.907506,4.000000
128.000000,4819404.507459,0.000306,0.000085,0.000278,0.019369,642.494437,1485.879343,21.498725,1500.907594,4.000000
129.000000,4819404.507414,0.000278,0.000077,0.000252,0.017601,642.494463,1485.881171,21.498744,1500.907673,4.000000
130.000000,4819404.507373,0.000253,0.000070,0.000229,0.015995,642.494487,1485.882833,21.498761,1500.907745,4.000000
131.000000,4819404.507336,0.000229,0.000063,0.000208,0.014535,642.494509,1485.884343,21.498776,1500.907811,4.000000
132.000000,4819404.507302,0.000209,0.000058,0.000189,0.013208,642.494528,1485.885716,21.498790,1500.907871,4.000000
133.000000,4819404.507271,0.000189,0.000052,0.000172,0.012003,642.494546,1485.886963,21.498803,1500.907925,4.000000
134.000000,4819404.507243,0.000172,0.000048,0.000156,0.010907,642.494562,1485.888096,21.498815,1500.907974,4.000000
135.000000,4819404.507218,0.000156,0.000043,0.000142,0.009912,642.494577,1485.889126,21.498825,1500.908019,4.000000
136.000000,4819404.507195,0.000142,0.000039,0.000129,0.009007,642.494591,1485.890062,21.498835,1500.908060,4.000000
137.000000,4819404.507174,0.000129,0.000036,0.000117,0.008185,642.494603,1485.890912,21.498844,1500.908096,4.000000
138.000000,4819404.507155,0.000117,0.000032,0.000107,0.007438,642.494614,1485.891685,21.498852,1500.908130,4.000000
139.000000,4819404.507138,0.000107,0.000030,0.000097,0.006759,642.494624,1485.892387,21.498859,1500.908161,4.000000
140.000000,4819404.507122,0.000097,0.000027,0.000088,0.006143,642.494633,1485.893025,21.498865,1500.908188,4.000000
141.000000,4819404.507108,0.000088,0.000024,0.000080,0.005582,642.494641,1485.893605,21.498871,1500.908214,4.000000
142.000000,4819404.507095,0.000080,0.000022,0.000073,0.005073,642.494649,1485.894132,21.498877,1500.908236,4.000000
143.000000,4819404.507083,0.000073,0.000020,0.000066,0.004610,642.494656,1485.894611,21.498881,1500.908257,4.000000
144.000000,4819404.507072,0.000066,0.000018,0.000060,0.004189,642.494662,1485.895046,21.498886,1500.908276,4.000000
145.000000,4819404.507062,0.000060,0.000017,0.000055,0.003807,642.494668,1485.895442,21.498890,1500.908293,4.000000
146.000000,4819404.507054,0.000055,0.000015,0.000050,0.003459,642.494673,1485.895801,21.498894,1500.908309,4.000000
147.000000,4819404.507046,0.000050,0.000014,0.000045,0.003143,642.494678,1485.896128,21.498897,1500.908323,4.000000
148.000000,4819404.507038,0.000045,0.000012,0.000041,0.002857,642.494682,1485.896425,21.498900,1500.908336,4.000000
149.000000,4819404.507032,0.000041,0.000011,0.000037,0.002596,642.494686,1485.896694,21.498903,1500.908348,4.000000
150.000000,4819404.507026,0.000037,0.000010,0.000034,0.002359,642.494689,1485.896939,21.498905,1500.908358,4.000000
151.000000,4819404.507020,0.000034,0.000009,0.000031,0.002144,642.494692,1485.897162,21.498908,1500.908368,4.000000
152.000000,4819404.507015,0.000031,0.000009,0.000028,0.001948,642.494695,1485.897365,21.498910,1500.908377,4.000000
153.000000,4819404.507011,0.000028,0.000008,0.000025,0.001770,642.494698,1485.897549,21.498912,1500.908385,4.000000
154.000000,4819404.507007,0.000025,0.000007,0.000023,0.001609,642.494700,1485.897716,21.498913,1500.908392,4.000000
155.000000,4819404.507003,0.000023,0.000006,0.000021,0.001462,642.494703,1485.897868,21.498915,1500.908399,4.000000
156.000000,4819404.506999,0.000021,0.000006,0.000019,0.001328,642.494705,1485.898006,21.498916,1500.908405,4.000000
157.000000,4819404.506996,0.000019,0.000005,0.000017,0.001207,642.494706,1485.898131,21.498918,1500.908410,4.000000
158.000000,4819404.506994,0.000017,0.000005,0.000016,0.001097,642.494708,1485.898245,21.498919,1500.908415,4.000000
159.000000,4819404.506991,0.000016,0.000004,0.000014,0.000997,642.494709,1485.898349,21.498920,1500.908420,4.000000
160.000000,4819404.506989,0.000014,0.000004,0.000013,0.000906,642.494711,1485.898443,21.498921,1500.908424,4.000000
161.000000,4819404.506987,0.000013,0.000004,0.000012,0.000823,642.494712,1485.898528,21.498922,1500.908427,4.000000
162.000000,4819404.506985,0.000012,0.000003,0.000011,0.000748,642.494713,1485.898606,21.498922,1500.908431,4.000000
163.000000,4819404.506983,0.000011,0.000003,0.000010,0.000680,642.494714,1485.898677,21.498923,1500.908434,4.000000
164.000000,4819404.506981,0.000010,0.000003,0.000009,0.000618,642.494715,1485.898741,21.498924,1500.908437,4.000000
165.000000,4819404.506979,0.000009,0.000002,0.000008,0.000561,642.494716,1485.898799,21.498924,1500.908439,4.000000
166.000000,4819404.506978,0.000008,0.000002,0.000007,0.000510,642.494717,1485.898852,21.498925,1500.908442,4.000000
167.000000,4819404.506978,0.000007,0.000002,0.000007,0.000464,642.494717,1485.898900,21.498925,1500.908444,4.000000
168.000000,4819404.506977,0.000007,0.000002,0.000006,0.000421,642.494718,1485.898944,21.498926,1500.908446,4.000000
169.000000,4819404.506976,0.000006,0.000002,0.000005,0.000383,642.494719,1485.898984,21.498926,1500.908447,4.000000
170.000000,4819404.506975,0.000005,0.000002,0.000005,0.000348,642.494719,1485.899020,21.498927,1500.908449,4.000000
171.000000,4819404.506974,0.000005,0.000001,0.000005,0.000316,642.494720,1485.899053,21.498927,1500.908450,4.000000
172.000000,4819404.506973,0.000005,0.000001,0.000004,0.000287,642.494720,1485.899083,21.498927,1500.908452,4.000000
173.000000,4819404.506972,0.000004,0.000001,0.000004,0.000261,642.494720,1485.899110,21.498928,1500.908453,4.000000
174.000000,4819404.506971,0.000004,0.000001,0.000003,0.000237,642.494721,1485.899134,21.498928,1500.908454,4.000000
175.000000,4819404.506970,0.000003,0.000001,0.000003,0.000216,642.494721,1485.899157,21.498928,1500.908455,4.000000
176.000000,4819404.506969,0.000003,0.000001,0.000003,0.000196,642.494721,1485.899177,21.498928,1500.908456,4.000000
177.000000,4819404.506969,0.000003,0.000001,0.000003,0.000178,642.494722,1485.899196,21.498928,1500.908456,4.000000
178.000000,4819404.506969,0.000003,0.000001,0.000002,0.000162,642.494722,1485.899212,21.498929,1500.908457,4.000000
179.000000,4819404.506969,0.000002,0.000001,0.000002,0.000147,642.494722,1485.899228,21.498929,1500.908458,4.000000
180.000000,4819404.506969,0.000002,0.000001,0.000002,0.000134,642.494722,1485.899242,21.498929,1500.908458,4.000000
181.000000,4819404.506969,0.000002,0.000001,0.000002,0.000121,642.494722,1485.899254,21.498929,1500.908459,4.000000
182.000000,4819404.506969,0.000002,0.000000,0.000002,0.000110,642.494723,1485.899266,21.498929,1500.908460,4.000000
183.000000,4819404.506969,0.000002,0.000000,0.000001,0.000100,642.494723,1485.899276,21.498929,1500.908460,4.000000
184.000000,4819404.506969,0.000001,0.000000,0.000001,0.000091,642.494723,1485.899286,21.498929,1500.908460,4.000000
185.000000,4819404.506969,0.000001,0.000000,0.000001,0.000083,642.494723,1485.899294,21.498929,1500.908461,4.000000
186.000000,4819404.506969,0.000001,0.000000,0.000001,0.000075,642.494723,1485.899302,21.498930,1500.908461,4.000000
187.000000,4819404.506969,0.000001,0.000000,0.000001,0.000068,642.494723,1485.899309,21.498930,1500.908461,4.000000
188.000000,4819404.506969,0.000001,0.000000,0.000001,0.000062,642.494723,1485.899316,21.498930,1500.908462,4.000000
189.000000,4819404.506969,0.000001,0.000000,0.000001,0.000056,642.494723,1485.899321,21.498930,1500.908462,4.000000
190.000000,4819404.506969,0.000001,0.000000,0.000001,0.000051,642.494724,1485.899327,21.498930,1500.908462,4.000000
