Time,covidsim_system.S,covidsim_system.E1,covidsim_system.E2,covidsim_system.P1,covidsim_system.P2,covidsim_system.I1,covidsim_system.I2,covidsim_system.L1,covidsim_system.L2,covidsim_system.R,covidsim_system.D,covidsim_system.prob,covidsim_system.cases,covidsim_system.C_dot
8.900000,4819677.467344,689.865557,550.677811,130.276641,123.488155,670.605362,278.036330,86.729591,20.993874,4.849568,0.009767,0.473363,835.024492,123.488155
9.000000,4819653.614009,696.399024,554.191362,131.021869,124.169807,676.253340,281.969740,88.651712,21.656891,5.062051,0.010195,0.473363,847.403930,124.169807
9.100000,4819629.464630,703.063718,557.781037,131.780660,124.858128,681.913244,285.920273,90.593932,22.332533,5.281209,0.010637,0.473363,859.851827,124.858128
9.200000,4819605.016937,709.858643,561.448185,132.553552,125.553801,687.585651,289.887877,92.556222,23.020874,5.507166,0.011092,0.473363,872.368882,125.553801
9.300000,4819580.268636,716.782846,565.194100,133.341064,126.257494,693.271198,293.872512,94.538551,23.721987,5.740050,0.011561,0.473363,884.955859,126.257494
9.400000,4819555.217415,723.835419,569.020021,134.143694,126.969860,698.970582,297.874141,96.540890,24.435944,5.979989,0.012044,0.473363,897.613591,126.969860
9.500000,4819529.860937,731.015498,572.927133,134.961922,127.691537,704.684558,301.892736,98.563208,25.162817,6.227111,0.012542,0.473363,910.342973,127.691537
9.600000,4819504.196843,738.322263,576.916573,135.796210,128.423146,710.413935,305.928278,100.605476,25.902676,6.481545,0.013054,0.473363,923.144965,128.423146
9.700000,4819478.222751,745.754941,580.989427,136.647002,129.165293,716.159576,309.980754,102.667662,26.655591,6.743422,0.013582,0.473363,936.020587,129.165293
9.800000,4819451.936253,753.312796,585.146739,137.514726,129.918567,721.922395,314.050162,104.749739,27.421628,7.012872,0.014124,0.473363,948.970919,129.918567
9.900000,4819425.334918,760.995141,589.389507,138.399792,130.683541,727.703353,318.136509,106.851675,28.200856,7.290025,0.014682,0.473363,961.997101,130.683541
10.000000,4819398.416287,768.801328,593.718689,139.302596,131.460773,733.503462,322.239810,108.973443,28.993340,7.575015,0.015256,0.473363,975.100327,131.460773
10.100000,4819371.177879,776.730751,598.135202,140.223518,132.250802,739.323774,326.360094,111.115013,29.799147,7.867974,0.015846,0.473363,988.281848,132.250802
10.200000,4819343.617180,784.782847,602.639929,141.162923,133.054154,745.165386,330.497396,113.276358,30.618340,8.169034,0.016453,0.473363,1001.542967,133.054154
10.300000,4819315.731655,792.957093,607.233715,142.121160,133.871338,751.029435,334.651765,115.457450,31.450983,8.478330,0.017076,0.473363,1014.885039,133.871338
10.400000,4819287.518736,801.253006,611.917373,143.098568,134.702846,756.917098,338.823258,117.658264,32.297139,8.795997,0.017716,0.473363,1028.309471,134.702846
10.500000,4819258.975829,809.670144,616.691684,144.095471,135.549157,762.829586,343.011947,119.878772,33.156868,9.122169,0.018372,0.473363,1041.817715,135.549157
10.600000,4819230.100311,818.208106,621.557399,145.112178,136.410732,768.768147,347.217912,122.118952,34.030233,9.456982,0.019047,0.473363,1055.411274,136.410732
10.700000,4819200.889528,826.866526,626.515241,146.148991,137.288020,774.734062,351.441248,124.378779,34.917293,9.800573,0.019739,0.473363,1069.091694,137.288020
10.800000,4819171.340798,835.645082,631.565906,147.206196,138.181452,780.728642,355.682058,126.658232,35.818107,10.153078,0.020449,0.473363,1082.860565,138.181452
10.900000,4819141.451406,844.543487,636.710068,148.284070,139.091448,786.753227,359.940461,128.957289,36.732733,10.514635,0.021177,0.473363,1096.719522,139.091448
11.000000,4819111.218608,853.561492,641.948373,149.382878,140.018411,792.809185,364.216586,131.275931,37.661230,10.885383,0.021924,0.473363,1110.670238,140.018411
11.100000,4819080.639627,862.698886,647.281450,150.502876,140.962732,798.897913,368.510576,133.614139,38.603653,11.265459,0.022689,0.473363,1124.714429,140.962732
11.200000,4819049.711655,871.955494,652.709904,151.644311,141.924788,805.020827,372.822584,135.971899,39.560060,11.655003,0.023474,0.473363,1138.853847,141.924788
11.300000,4819018.431852,881.331179,658.234323,152.807419,142.904945,811.179371,377.152779,138.349195,40.530504,12.054155,0.024278,0.473363,1153.090282,142.904945
11.400000,4818986.797343,890.825839,663.855278,153.992427,143.903552,817.375006,381.501341,140.746015,41.515042,12.463056,0.025101,0.473363,1167.425560,143.903552
11.500000,4818954.805222,900.439407,669.573323,155.199556,144.920950,823.609216,385.868462,143.162347,42.513727,12.881845,0.025945,0.473363,1181.861542,144.920950
11.600000,4818922.452548,910.171851,675.388995,156.429017,145.957467,829.883503,390.254350,145.598184,43.526612,13.310665,0.026808,0.473363,1196.400121,145.957467
11.700000,4818889.736346,920.023174,681.302821,157.681015,147.013419,836.199384,394.659222,148.053519,44.553750,13.749657,0.027692,0.473363,1211.043224,147.013419
11.800000,4818856.653608,929.993413,687.315313,158.955746,148.089111,842.558395,399.083310,150.528348,45.595194,14.198964,0.028597,0.473363,1225.792808,148.089111
11.900000,4818823.201288,940.082639,693.426973,160.253401,149.184838,848.962084,403.526860,153.022669,46.650995,14.658730,0.029523,0.473363,1240.650861,149.184838
12.000000,4818789.376308,950.290956,699.638291,161.574163,150.300884,855.412014,407.990130,155.536483,47.721203,15.129096,0.030471,0.473363,1255.619398,150.300884
12.100000,4818755.175551,960.618500,705.949750,162.918212,151.437524,861.909761,412.473391,158.069794,48.805871,15.610208,0.031440,0.473363,1270.700464,151.437524
12.200000,4818720.595867,971.065439,712.361822,164.285719,152.595022,868.456909,416.976926,160.622607,49.905047,16.102210,0.032431,0.473363,1285.896130,152.595022
12.300000,4818685.634068,981.631976,718.874975,165.676851,153.773634,875.055056,421.501033,163.194932,51.018783,16.605247,0.033444,0.473363,1301.208495,153.773634
12.400000,4818650.286929,992.318342,725.489669,167.091771,154.973609,881.705806,426.046023,165.786781,52.147126,17.119465,0.034479,0.473363,1316.639680,154.973609
12.500000,4818614.551188,1003.124799,732.206359,168.530637,156.195184,888.410773,430.612217,168.398169,53.290126,17.645009,0.035538,0.473363,1332.191833,156.195184
12.600000,4818578.423545,1014.051644,739.025495,169.993602,157.438591,895.171579,435.199953,171.029113,54.447832,18.182026,0.036619,0.473363,1347.867123,157.438591
12.700000,4818541.900664,1025.099198,745.947524,171.480815,158.704053,901.989852,439.809578,173.679635,55.620292,18.730664,0.037724,0.473363,1363.667745,158.704053
12.800000,4818504.979168,1036.267817,752.972891,172.992423,159.991787,908.867223,444.441455,176.349760,56.807555,19.291068,0.038853,0.473363,1379.595914,159.991787
12.900000,4818467.655643,1047.557885,760.102038,174.528568,161.302000,915.805332,449.095957,179.039516,58.009667,19.863388,0.040006,0.473363,1395.653866,161.302000
13.000000,4818429.926635,1058.969813,767.335407,176.089389,162.634898,922.805821,453.773471,181.748934,59.226677,20.447772,0.041183,0.473363,1411.843859,162.634898
13.100000,4818391.788653,1070.504043,774.673437,177.675024,163.990675,929.870336,458.474396,184.478049,60.458633,21.044369,0.042384,0.473363,1428.168169,163.990675
13.200000,4818353.238162,1082.161045,782.116572,179.285605,165.369522,937.000526,463.199145,187.226901,61.705582,21.653328,0.043611,0.473363,1444.629093,165.369522
13.300000,4818314.271591,1093.941316,789.665253,180.921266,166.771626,944.198043,467.948141,189.995531,62.967571,22.274798,0.044863,0.473363,1461.228948,166.771626
13.400000,4818274.885327,1105.845383,797.319923,182.582136,168.197165,951.464539,472.721821,192.783986,64.244648,22.908931,0.046140,0.473363,1477.970065,168.197165
13.500000,4818235.075715,1117.873798,805.081030,184.268344,169.646316,958.801668,477.520633,195.592317,65.536860,23.555877,0.047443,0.473363,1494.854798,169.646316
